l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy,local_mem,remote_mem
20595237,11790,19429984,1410025483,3329110473,2564385205,409810,0,419798862,39845888,1250295808,3276800
25373526,14382,23855884,1740835660,3322888264,2381138645,500556,0,419961199,39845888,1543372800,0
19720976,11702,18579215,1352111559,3328766874,2593755152,390955,0,419827345,39845888,1200816128,1114112
21513750,17015,20257023,1470611998,3325544917,2528222387,423342,0,419769085,39845888,1308295168,0
20227020,10373,19156084,1394764109,3325595078,2572969349,403082,0,419998827,39845888,1234370560,0
25037850,9290,23497823,1727001201,3322326455,2386040277,500235,0,419825299,39845888,1539047424,6094848
21035491,12360,19988316,1457987525,3314690570,2518310526,421060,0,419737962,39845888,1283588096,65536
20379597,8407,19185538,1392827575,3329269195,2574539387,402830,0,419871942,39845888,1245839360,0
20676995,13157,19499415,1421465831,3324153577,2551763238,410165,0,419688818,39845888,1256128512,0
23606551,11910,22167194,1611400189,3325531457,2455827975,465396,0,419849432,39845888,1438515200,4325376
22371694,12636,21163266,1535624717,3326958625,2490492713,436956,0,419858728,39845888,1357578240,0
20835536,841679,18989507,1392305627,3327328743,2573132479,612625,0,419959146,39845888,1234305024,4128768
20288677,519683,19483027,1426330597,3326269964,2552785588,77208,0,419933652,39845888,1262157824,0
23064204,1193691,21590836,1578658287,3327241330,2477590410,85861,0,419592942,39845888,1399521280,3276800
24276163,12270,23238989,1688804207,3325047945,2410640847,85049,0,419899495,39845888,1495138304,0
19625550,626512,18716667,1364610111,3325559963,2584913415,70055,0,419779493,39845888,1210253312,5570560
20607793,15661,19623738,1433746246,3314692332,2538913523,74684,0,419820774,39845888,1277820928,0
20842465,19788,19999956,1458404720,3325582432,2533298982,74854,0,419584913,39845888,1301282816,1638400
24526479,14894,23291888,1709483024,3320620267,2395810633,90340,0,419715165,39845888,1507590144,0
19370977,16036,18478671,1350831339,3303115034,2569710049,69924,0,419955640,39845888,1203240960,4521984
20453162,16018,19485578,1421833058,3327232105,2557711890,73471,0,419949486,39845888,1261109248,393216
19940489,10580,19154070,1391270214,3329918773,2573160086,76640,0,419801854,39845888,1243217920,0
24609723,19341,23410577,1706257676,3322438097,2388551543,94427,0,419880818,39845888,1521549312,0
19502870,10410,18841827,1371890444,3327889684,2584175552,71857,0,419608646,39845888,1208483840,0
21048223,14558,20470363,1500662458,3324675086,2528839328,74596,0,419639911,39845888,1313144832,0
19736634,10704,18894291,1373740234,3326217391,2578598330,72519,0,419923216,39845888,1213661184,131072
24157409,17925,22709906,1657082872,3324500101,2421761838,91751,0,419915183,39845888,1500971008,6422528
21574567,15589,20595425,1499347442,3325447678,2514774673,79214,0,419882957,39845888,1322385408,0
19800462,14960,18967707,1388520291,3322599554,2566868312,74422,0,419765303,39845888,1232535552,4325376
20506589,13065,19513495,1419827478,3326304935,2560369492,68629,0,419922786,39845888,1261961216,0
22334880,16581,21405372,1567550455,3325743997,2474363924,89170,0,419793924,39845888,1398800384,2883584
23632636,12078,22584355,1640238254,3322653849,2429683065,84187,0,419663769,39845888,1448738816,0
19253471,10828,18395224,1345900067,3327421407,2597670398,69539,0,419907509,39845888,1198522368,1572864
20455278,11756,19481824,1422076544,3326572172,2558051488,74933,0,419902476,39845888,1266024448,1114112
20611469,15663,19814510,1450498532,3327691216,2539692887,80778,0,419788846,39845888,1291386880,3735552
24562249,15468,23479079,1706852513,3322243398,2396212111,88598,0,419867768,39845888,1513816064,524288
19457570,13904,18402894,1347134458,3325110574,2601408205,74832,0,419603001,39845888,1191968768,0
20662750,10661,19919268,1447278912,3319785051,2543976356,69663,0,419774717,39845888,1278803968,0
19416777,13289,18329941,1347889543,3326110922,2593134064,70677,0,419796123,39845888,1203306496,6422528
25079069,14224,24044127,1762341930,3320852361,2373737715,96309,0,419729937,39845888,1554907136,0
21092770,15127,20130355,1461663778,3327729004,2541132909,73520,0,419771931,39845888,1286799360,0
20043947,16759,19248086,1407718925,3327369262,2565368951,73037,0,419829555,39845888,1258291200,524288
20304323,11778,19440626,1417576362,3322551630,2554450618,74677,0,419617906,39780352,1247936512,262144
13424658,6203,12619060,916479882,1989734569,1492136349,39359,0,419699244,39780352,809566208,0
4525603,280585,191776,1429072907,1629194835,1006804497,3369685,2,419387395,38076416,5373952,0
