l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall-cycles,llc_occupancy,local_mem,remote_mem
32600,1389,17822,569139075,243782584,21502469,0,2,428155302,2097152,301531136,5636096
293757,2589,20353,596723114,269158892,34176869,0,2,419481033,2097152,252772352,0
73616,116,54055,794402826,411357098,87887821,0,0,419911288,2097152,21168128,1376256
85155,123,65041,797458514,408402300,88238792,0,0,419567442,2097152,22872064,1048576
86681,86,68737,797454657,408683131,87375147,0,0,419668526,2097152,23003136,1114112
82136,23,72065,798244709,408659124,88150577,0,0,419500196,2097152,23789568,655360
85880,116,63646,805812434,408492237,87301637,0,0,419408430,1900544,23789568,917504
81172,2,62947,805781120,412142924,88293030,0,0,419632606,2097152,22872064,1245184
91616,166,58953,804920308,412365629,87776204,0,0,419731815,2097152,22413312,720896
85314,83,49107,801170125,410535882,88972180,0,0,419575093,2097152,23724032,983040
87471,75,53980,802191931,408492362,87921885,0,0,419630678,2097152,23527424,786432
94195,92,53511,803183493,408579337,87382404,0,0,419638418,2031616,23658496,1245184
94971,0,68282,802836922,408780380,86434683,0,0,419555748,1835008,23199744,1245184
98754,361,75414,809736854,410727245,87617758,0,0,419541436,2031616,27262976,1572864
88972,533,58882,803770359,412588585,88114464,0,0,419705745,2097152,23461888,655360
83210,1045,59335,797720976,410399341,88914250,0,0,419644127,2097152,22413312,786432
88039,246,66221,799935047,408953164,87321139,0,0,419615329,2097152,22872064,851968
88266,6,59105,802917101,408750293,88569263,0,0,419234867,1900544,23003136,851968
87239,0,72951,797747508,408449287,87445590,0,0,419685124,2097152,23330816,1114112
84332,17,66354,806482537,410022080,87957914,0,0,419570588,2097152,22151168,1310720
94757,81,57359,809752156,412543272,87634342,0,0,419560172,2097152,23396352,983040
92641,532,72201,803040159,412520820,88163130,0,0,419472884,2097152,23920640,1048576
89879,123,70019,801066067,410548690,87409791,0,0,419805076,2097152,25362432,1048576
92749,557,79488,798300227,408786861,89295564,0,0,419537452,2097152,24379392,917504
82124,12,62379,800910798,408703560,87426036,0,0,419486276,2097152,22675456,917504
91149,6,74373,801696204,408848793,87389540,0,0,419756348,2097152,23658496,917504
86673,27,68336,807741397,410546108,87569373,0,0,419623180,2097152,23592960,983040
80822,478,83197,804921418,412453015,89298306,0,0,419666870,2097152,24641536,983040
78149,304,59719,801257629,412254308,89163412,0,0,419496986,2097152,23724032,1245184
78451,50,66059,800288678,408678932,89222193,0,0,419564360,2097152,24379392,917504
91318,92,76634,800223977,408593493,87501522,0,0,419610590,2097152,24576000,1179648
94464,0,71850,801272608,408939054,88162308,0,0,419747968,2097152,22806528,393216
82029,2,67806,808265117,408887423,87657598,0,0,419460965,2097152,23134208,1245184
90184,16,75037,805467115,412291397,88743272,0,0,419535661,2031616,23986176,983040
80715,69,65293,800486801,412421622,89095194,0,0,419740735,2097152,23003136,1310720
91518,243,77397,799318866,410042939,88279755,0,0,419610716,2097152,24051712,983040
78267,200,65833,800246786,408943502,87463941,0,0,419411491,2031616,23658496,720896
89999,85,79532,801528293,408882079,88915209,0,0,419695449,2097152,24772608,1179648
79488,0,67061,804651829,408693994,87806216,0,0,419373696,2031616,22806528,1245184
88602,0,65115,811318723,411639489,87887717,0,0,419320998,2097152,23658496,983040
